id,category_id,product_type,product_name,purchase_price,retail_price,wholesale_price,min_stock,tracking_mode,active,created_at,updated_at
54,1,Curd,Curd 1kg,91.66,100.00,97.00,0,PERIODIC,true,2026-08-04 03:01:54.053811,2026-08-04 03:01:54.053811
2,1,Milk,STD,31.25,35.00,34.00,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:57:32.849
3,1,Milk,Milk 200ml,8.63,10.00,9.50,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:56:50.114
5,1,Curd,Curd 500ml,33.50,38.00,36.00,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:54:46.11
9,1,Lassi,Lassi,8.00,10.00,9.00,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:56:27.699
4,1,Curd,Curd 200ml,8.50,10.00,9.50,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:54:12.839
7,1,Curd,Curd 10L,610.00,660.00,650.00,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:53:21.741
1,1,Milk,FCM,37.08,40.00,39.00,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:55:50.231
8,1,Butter Milk,Butter Milk,6.70,10.00,9.00,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:53:00.86
6,1,Curd,Curd 5L,310.00,340.00,330.00,0,DAILY,true,2026-08-03 08:40:25.426546,2026-08-04 02:55:09.113
20,2,Cup,Cup 20,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
21,2,Cup,Cup 40,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
22,2,Cup,Cup 50,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
23,2,Small Cone,Vanilla,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
24,2,Small Cone,Chocolate,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
25,2,Small Cone,Butter Scotch,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
26,2,Small Cone,Strawberry,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
27,2,Small Cone,Black Current,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
28,2,Small Cone,Pista,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
29,2,Big Cone,Vanilla,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
30,2,Big Cone,Chocolate,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
31,2,Big Cone,Butter Scotch,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
32,2,Big Cone,Strawberry,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
33,2,Big Cone,Black Current,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
34,2,1+1 Family Pack,Vanilla,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
35,2,1+1 Family Pack,Chocolate,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
36,2,1+1 Family Pack,Black Current,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
37,2,1+1 Family Pack,Anjeera Badam,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
38,2,1+1 Family Pack,Strawberry,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
